"","X","Y","Price","Category"
"327",571199.874084,3870528.00403,56.96,"Rice_Field"
"328",570996.092754,3870647.9107,7.86,"Forest"
"329",571024.253615,3870622.54933,0.85,"Forest"
"330",571020.905903,3870599.56723,17.17,"Rice_Field"
"331",571043.829302,3870587.4112,2.16,"Forest"
"332",571065.610445,3870670.50178,0.95,"Forest"
"333",571062.353485,3870622.20111,72.22,"Rice_Field"
"334",571039.367368,3870644.77038,50.04,"Rice_Field"
"335",571085.427178,3870571.50151,7,"Rice_Field"
"336",571137.594789,3870538.04649,8.97,"Rice_Field"
"337",571136.870698,3870529.46156,8.08,"Rice_Field"
"338",571160.50071,3870518.78295,1.5,"Forest"
"339",571178.08383,3870507.83616,4.1,"Field"
"340",571286.240116,3870459.74441,1.55,"Forest"
"341",571201.117742,3870495.6643,7.06,"Rice_Field"
"342",571503.488367,3870626.15812,3.93,"Forest"
"343",571272.971763,3870694.97936,2.56,"Rice_Field"
"344",571425.933507,3870672.43923,26.64,"Rice_Field"
"345",571348.231715,3870682.31719,22,"Rice_Field"
"346",571102.069065,3870732.31647,4.11,"Rice_Field"
"347",571124.227813,3870726.27454,23.99,"Rice_Field"
"348",571227.299852,3870710.61779,56.11,"Rice_Field"
"349",571172.200164,3870715.86682,48.79,"Rice_Field"
"350",570948.591738,3870766.70162,77.28,"Field"
"351",570982.385454,3870711.77353,56.86,"Rice_Field"
"352",571056.376493,3870719.40145,88.61,"Rice_Field"
"353",571036.67261,3870689.12384,0.56,"Forest"
"354",571012.22062,3870718.23852,37.39,"Rice_Field"
"355",570995.833167,3870674.82438,1.55,"Forest"
"356",570956.525756,3870738.5363,4.15,"Forest"
"357",570957.708465,3870686.66648,21.83,"Forest"
"358",571592.892118,3871261.77583,0.61,"Forest"
"359",571432.168138,3871577.93685,5.31,"Forest"
"360",571545.583331,3871396.07696,2.56,"山"
"361",571723.776151,3871581.61422,14.54,"Forest"
"362",571739.314006,3871341.08926,54.96,"山"
"363",571859.185401,3871588.71313,19.63,"Forest"
"364",571955.339326,3871411.90459,38.25,"Forest"
"365",571566.906985,3871542.48257,9.17,"Forest"
"366",571754.804942,3871506.66393,3.44,"Forest"
"367",571649.151114,3871473.59845,0.86,"Forest"
"368",571320.379387,3871048.10809,14.1,"Forest"
"369",571274.633791,3871125.77172,43.21,"Field"
"370",571300.047084,3871041.8954,2.77,"Forest"
"371",571203.276021,3871195.84668,2.62,"Forest"
"372",571190.541768,3871221.93147,6.55,"Forest"
"373",571107.462574,3871211.35024,11.79,"Forest"
"374",571148.858342,3871198.81338,27.07,"Forest"
"375",571156.8961,3871172.54986,17.03,"Forest"
"376",571155.458907,3871149.43126,10.91,"Forest"
"377",571193.129076,3871102.76755,6.99,"Forest"
"378",571193.097095,3871140.72525,3.49,"Forest"
"379",571192.764202,3871042.31657,0.74,"Forest"
"380",571179.876998,3871081.39955,9.3,"Forest"
"381",571151.218368,3871048.38388,1.22,"Forest"
"382",571171.35831,3871045.65765,0.11,"Forest"
"383",571130.589322,3871061.37912,0.11,"Forest"
"384",571156.181007,3871075.59649,7.54,"Forest"
"385",571092.885279,3871000.71757,12.2,"Forest"
"386",570507.565089,3871316.22565,314.37,"Residential"
"387",570488.060475,3871324.51079,15.89,"Field"
"388",570488.757293,3871293.78301,43.65,"Residential"
"389",570477.050762,3871324.01831,15,"Field"
"390",570477.93346,3871293.19239,32.72,"Residential"
"391",570439.834309,3871312.59351,560.56,"Residential"
"392",570393.157584,3871310.04598,120.67,"Residential"
"393",570381.013472,3871308.36405,109.87,"Residential"
"394",570402.926532,3871328.55673,48.3,"Residential"
"395",570404.899641,3871295.37085,39,"Residential"
"396",570343.905998,3871315.89983,38.25,"Residential"
"397",570360.710075,3871326.2617,123.66,"Residential"
"398",570361.102717,3871298.69368,88.83,"Residential"
"399",570362.802106,3871279.43982,50.62,"Residential"
"400",570349.313398,3871361.82246,47.25,"Residential"
"401",570361.51802,3871394.78807,4.34,"Forest"
"402",570362.646136,3871368.02885,57.3,"Residential"
"403",570373.645554,3871397.30046,435,"Forest"
"404",570514.791466,3871378.4421,186.88,"Residential"
"405",570489.911225,3871379.66004,233.37,"Residential"
"406",570463.765516,3871401.94905,46.03,"Residential"
"407",570466.153772,3871374.28328,120.31,"Residential"
"408",570445.383845,3871398.70023,5.68,"Forest"
"409",570447.652891,3871371.15912,82.88,"Residential"
"410",570384.769425,3871370.18572,48,"Residential"
"411",570398.028752,3871369.00021,94.72,"Residential"
"412",570426.556719,3871366.60536,130.05,"Residential"
"413",570410.847582,3871368.44801,56.34,"Residential"
